Name,IF,IFDenseRank,IFMinRank
citi,5547.02479338843,1.0,1.0
elijah,5236.997607655502,2.0,2.0
aurelia,4782.272727272727,3.0,3.0
team,4767.892561983472,4.0,4.0
jungl,4646.171487603306,5.0,5.0
gold,3527.7056277056276,6.0,6.0
guard,3050.3636363636365,7.0,7.0
found,3039.4134199134196,8.0,8.0
legend,2868.6411483253582,9.0,9.0
golden,2844.6611570247933,10.0,10.0
river,2805.55980861244,11.0,11.0
lost,2690.409090909091,12.0,12.0
wall,2647.809917355372,13.0,13.0
beauti,2613.1611570247933,14.0,14.0
live,2580.006198347108,15.0,15.0
explor,2548.5358851674637,16.0,16.0
flood,2525.607655502392,17.0,17.0
find,2511.0645933014353,18.0,18.0
treasur,2458.87012987013,19.0,19.0
centuri,2422.0227272727275,20.0,20.0
beneath,2381.9234449760766,21.0,21.0
terribl,2367.130165289256,22.0,22.0
rise,2353.456937799043,23.0,23.0
eye,2275.324675324675,24.0,24.0
pass,2259.0454545454545,25.0,25.0
emerald,2258.181818181818,26.0,26.0
ventur,2216.845041322314,27.0,27.0
spire,2167.944976076555,28.0,28.0
templ,2137.7582644628096,29.0,29.0
street,2125.6611570247937,30.0,30.0
snake,2125.6611570247937,30.0,30.0
vine,2125.6611570247937,30.0,30.0
began,2109.421052631579,31.0,33.0
place,2108.064049586777,32.0,34.0
statu,2088.3658008658003,33.0,35.0
dare,2058.846889952153,34.0,36.0
water,2043.6650717703349,35.0,37.0
long,2006.8516746411483,36.0,38.0
hidden,1998.0681818181818,37.0,39.0
danger,1899.276859504132,38.0,40.0
mention,1874.3522727272727,39.0,41.0
allow,1874.3522727272727,39.0,41.0
fail,1874.3522727272727,39.0,41.0
deep,1742.1244019138755,40.0,44.0
close,1686.7171717171718,41.0,45.0
race,1686.7171717171718,41.0,45.0
tribe,1681.7148760330579,42.0,47.0
fix,1649.1626794258368,43.0,48.0
disappear,1649.1626794258368,43.0,48.0
fall,1649.1626794258368,43.0,48.0
realiz,1637.8636363636363,44.0,51.0
truth,1637.8636363636363,44.0,51.0
chao,1637.8636363636363,44.0,51.0
deeper,1581.6694214876034,45.0,54.0
heart,1581.6694214876034,45.0,54.0
vast,1581.6694214876034,45.0,54.0
unknown,1549.1791443850268,46.0,57.0
captain,1549.1791443850268,46.0,57.0
ward,1549.1791443850268,46.0,57.0
man,1549.1791443850268,46.0,57.0
expedit,1549.1791443850268,46.0,57.0
crown,1538.419913419913,47.0,62.0
wilder,1507.8579545454545,48.0,63.0
search,1507.8579545454545,48.0,63.0
return,1507.8579545454545,48.0,63.0
treacher,1507.8579545454545,48.0,63.0
tale,1507.8579545454545,48.0,63.0
silent,1488.320707070707,49.0,68.0
eerili,1488.320707070707,49.0,68.0
imagin,1457.181818181818,50.0,70.0
swallow,1455.8133971291868,51.0,71.0
cri,1455.8133971291868,51.0,71.0
roar,1455.8133971291868,51.0,71.0
start,1439.1818181818185,52.0,74.0
peril,1439.1818181818185,52.0,74.0
journey,1439.1818181818185,52.0,74.0
twist,1424.3535353535353,53.0,77.0
tree,1424.3535353535353,53.0,77.0
air,1424.3535353535353,53.0,77.0
uproot,1424.3535353535353,53.0,77.0
goldit,1404.3068181818182,54.0,81.0
want,1404.3068181818182,54.0,81.0
remain,1404.3068181818182,54.0,81.0
entiti,1404.3068181818182,54.0,81.0
week,1389.2344497607653,55.0,85.0
gruel,1389.2344497607653,55.0,85.0
travel,1389.2344497607653,55.0,85.0
stumbl,1389.2344497607653,55.0,85.0
unlik,1389.2344497607653,55.0,85.0
massiv,1365.4025974025972,56.0,90.0
made,1365.4025974025972,56.0,90.0
warrior,1365.4025974025972,56.0,90.0
glitter,1365.4025974025972,56.0,90.0
entranc,1365.4025974025972,56.0,90.0
ground,1359.4019138755982,57.0,95.0
feet,1359.4019138755982,57.0,95.0
awoken,1359.4019138755982,57.0,95.0
shake,1359.4019138755982,57.0,95.0
groan,1359.4019138755982,57.0,95.0
slumber,1359.4019138755982,57.0,95.0
heard,1341.1483253588515,58.0,101.0
boy,1341.1483253588515,58.0,101.0
swore,1341.1483253588515,58.0,101.0
exist,1341.1483253588515,58.0,101.0
grandfath,1341.1483253588515,58.0,101.0
sought,1340.71875,59.0,106.0
protect,1340.71875,59.0,106.0
believ,1340.71875,59.0,106.0
intrud,1340.71875,59.0,106.0
claim,1340.71875,59.0,106.0
begun,1324.9586776859503,60.0,111.0
part,1324.9586776859503,60.0,111.0
reclaim,1324.9586776859503,60.0,111.0
crack,1324.9586776859503,60.0,111.0
roam,1324.9586776859503,60.0,111.0
soul,1324.9586776859503,60.0,111.0
root,1324.9586776859503,60.0,111.0
incred,1308.2975206611568,61.0,118.0
warn,1308.2975206611568,61.0,118.0
rever,1308.2975206611568,61.0,118.0
fear,1308.2975206611568,61.0,118.0
spoke,1308.2975206611568,61.0,118.0
guid,1211.603305785124,62.0,123.0
suffoc,1211.603305785124,62.0,123.0
whisper,1211.603305785124,62.0,123.0
day,1211.603305785124,62.0,123.0
local,1211.603305785124,62.0,123.0
heat,1211.603305785124,62.0,123.0
stori,1211.603305785124,62.0,123.0
ancient,1211.603305785124,62.0,123.0
map,1211.603305785124,62.0,123.0
hack,1211.603305785124,62.0,123.0
foliag,1209.2727272727273,63.0,133.0
surfac,1209.2727272727273,63.0,133.0
mist,1209.2727272727273,63.0,133.0
rose,1209.2727272727273,63.0,133.0
sky,1209.2727272727273,63.0,133.0
tower,1209.2727272727273,63.0,133.0
gleam,1209.2727272727273,63.0,133.0
group,1193.6602870813397,64.0,140.0
wait,1193.6602870813397,64.0,140.0
seek,1193.6602870813397,64.0,140.0
determin,1182.2966507177032,65.0,143.0
experienc,1182.2966507177032,65.0,143.0
quest,1182.2966507177032,65.0,143.0
set,1182.2966507177032,65.0,143.0
assembl,1182.2966507177032,65.0,143.0
adventur,1182.2966507177032,65.0,143.0
promis,1152.0909090909092,66.0,149.0
unchart,1145.1161616161617,67.0,150.0
ago,1145.1161616161617,67.0,150.0
south,1145.1161616161617,67.0,150.0
lay,1145.1161616161617,67.0,150.0
myth,1145.1161616161617,67.0,150.0
thought,1145.1161616161617,67.0,150.0
america,1145.1161616161617,67.0,150.0
final,1099.6363636363637,68.0,157.0
upstream,1099.6363636363637,68.0,157.0
sight,1099.6363636363637,68.0,157.0
breath,1099.6363636363637,68.0,157.0
itaurelia,1053.4720279720282,69.0,161.0
corner,972.8896103896102,70.0,162.0
stood,972.8896103896102,70.0,162.0
adorn,972.8896103896102,70.0,162.0
gem,972.8896103896102,70.0,162.0
preciou,972.8896103896102,70.0,162.0
god,972.8896103896102,70.0,162.0
longforgotten,972.8896103896102,70.0,162.0
symbol,963.069264069264,71.0,169.0
build,963.069264069264,71.0,169.0
pure,963.069264069264,71.0,169.0
intric,963.069264069264,71.0,169.0
forgotten,963.069264069264,71.0,169.0
scene,963.069264069264,71.0,169.0
carv,963.069264069264,71.0,169.0
craft,963.069264069264,71.0,169.0
civil,963.069264069264,71.0,169.0
metal,961.096256684492,72.0,178.0
fleck,961.096256684492,72.0,178.0
shimmer,961.096256684492,72.0,178.0
hue,961.096256684492,72.0,178.0
tini,961.096256684492,72.0,178.0
strang,961.096256684492,72.0,178.0
infus,961.096256684492,72.0,178.0
touch,903.7081339712917,73.0,185.0
rumbl,903.7081339712917,73.0,185.0
echo,903.7081339712917,73.0,185.0
reach,903.7081339712917,73.0,185.0
storm,828.4632034632034,74.0,189.0
venom,828.4632034632034,74.0,189.0
violent,828.4632034632034,74.0,189.0
teem,828.4632034632034,74.0,189.0
dens,828.4632034632034,74.0,189.0
creatur,828.4632034632034,74.0,189.0
impenetr,828.4632034632034,74.0,189.0
thicket,828.4632034632034,74.0,189.0
artifact,704.6363636363636,75.0,197.0
wildest,704.6363636363636,75.0,197.0
overflow,704.6363636363636,75.0,197.0
chest,704.6363636363636,75.0,197.0
jewel,704.6363636363636,75.0,197.0
insid,704.6363636363636,75.0,197.0
dreamsgolden,704.6363636363636,75.0,197.0
fill,704.6363636363636,75.0,197.0
chamber,704.6363636363636,75.0,197.0
