,Words,Old_WScore,Position_Weight,SCScore
0,extract,1552.8090277777776,1.1144676488047056,1730.5554262302205
51,import,702.1777777777778,0.5,351.0888888888889
14,text,1064.9041666666667,0.2916666666666667,310.5970486111111
1,method,1552.8090277777776,0.18016677345424972,279.7645923253526
50,task,702.1777777777778,0.3333333333333333,234.05925925925925
2,keyword,1552.8090277777776,0.13230519480519481,205.44470091540404
8,present,1334.90625,0.13970588235294118,186.49425551470588
38,analysi,873.25,0.2,174.65
7,propos,1344.6805555555557,0.10857563489142436,145.99954504559767
37,paper,873.25,0.14285714285714285,124.75
6,word,1344.6805555555557,0.08686371100164203,116.80394316730523
4,construct,1481.1805555555557,0.07820838773219725,115.84074319028022
42,critic,873.25,0.1111111111111111,97.02777777777777
5,parameterless,1344.6805555555557,0.06886792452830189,92.60535901467506
43,discuss,873.25,0.1,87.325
3,graph,1481.1805555555557,0.055673382820784725,82.46233209614705
39,issu,873.25,0.09090909090909091,79.38636363636364
40,challeng,873.25,0.08333333333333333,72.77083333333333
13,score,1209.9305555555557,0.05333333333333333,64.52962962962962
11,base,1209.9305555555557,0.04695562435500516,56.81304466230937
12,connect,1209.9305555555557,0.04552058111380145,55.07674199623352
41,comprehens,873.25,0.058823529411764705,51.36764705882353
21,nlp,1036.75,0.039711021505376344,41.17040154569892
23,contextu,1006.0166666666668,0.038461538461538464,38.692948717948724
22,relat,1006.0166666666668,0.037037037037037035,37.25987654320988
9,graphbas,1289.1818181818182,0.023255813953488372,29.980972515856237
20,tool,1036.75,0.02854251012145749,29.591447368421054
24,concept,993.125,0.027777777777777776,27.586805555555554
30,demonstr,922.6022727272727,0.02702702702702703,24.935196560196562
33,individu,922.6022727272727,0.025,23.06505681818182
31,superior,922.6022727272727,0.024390243902439025,22.50249445676275
16,combin,1047.4930555555554,0.02127659574468085,22.287086288416074
32,sateoftheart,922.6022727272727,0.023809523809523808,21.96672077922078
18,lead,1047.4930555555554,0.019230769230769232,20.14409722222222
29,algorithm,922.6022727272727,0.021739130434782608,20.05657114624506
17,scake,1047.4930555555554,0.017857142857142856,18.705233134920633
15,semant,1047.4930555555554,0.017241379310344827,18.060225095785437
19,languag,1036.75,0.015151515151515152,15.708333333333334
28,limit,960.375,0.016129032258064516,15.48991935483871
26,avail,960.375,0.015873015873015872,15.244047619047619
27,languageagnost,960.375,0.014492753623188406,13.918478260869565
10,document,1219.4062499999998,0.011235955056179775,13.701193820224717
25,lake,960.375,0.013888888888888888,13.338541666666666
35,elimin,920.8333333333331,0.013513513513513514,12.443693693693692
34,statist,920.8333333333331,0.012987012987012988,11.958874458874456
36,filter,920.8333333333331,0.01282051282051282,11.805555555555554
47,show,719.6944444444443,0.012048192771084338,8.671017402945113
45,compet,719.6944444444443,0.011764705882352941,8.466993464052287
49,solut,719.6944444444443,0.011627906976744186,8.368540051679584
46,lack,719.6944444444443,0.01098901098901099,7.908730158730158
44,sophist,719.6944444444443,0.010869565217391304,7.822765700483091
48,support,719.6944444444443,0.010638297872340425,7.656323877068557
